location,cutoff_date,forecast_date,forecast_week,forecast,raw_model_output,target_mode,reference_date,target_end_date,horizon
10,2024-11-09,2024-11-23,2,3.326856851577759,1.4648414,log,2024-11-09,2024-11-23,2
10,2024-11-09,2024-11-30,3,6.699009418487549,2.0410917,log,2024-11-09,2024-11-30,3
10,2024-11-09,2024-12-07,4,8.029010772705078,2.2004428,log,2024-11-09,2024-12-07,4
11,2024-11-09,2024-11-16,1,1.6773138046264648,0.984814,log,2024-11-09,2024-11-16,1
11,2024-11-09,2024-11-23,2,2.917327404022217,1.3654096,log,2024-11-09,2024-11-23,2
11,2024-11-09,2024-11-30,3,5.39849328994751,1.8560625,log,2024-11-09,2024-11-30,3
11,2024-11-09,2024-12-07,4,7.049160003662109,2.0855677,log,2024-11-09,2024-12-07,4
12,2024-11-09,2024-11-16,1,406.0716857910156,6.0089893,log,2024-11-09,2024-11-16,1
12,2024-11-09,2024-11-23,2,631.0707397460938,6.4490013,log,2024-11-09,2024-11-23,2
12,2024-11-09,2024-11-30,3,727.7384033203125,6.591315,log,2024-11-09,2024-11-30,3
12,2024-11-09,2024-12-07,4,858.8026733398438,6.756703,log,2024-11-09,2024-12-07,4
13,2024-11-09,2024-11-16,1,44.953468322753906,3.8276293,log,2024-11-09,2024-11-16,1
13,2024-11-09,2024-11-23,2,61.470924377441406,4.1347013,log,2024-11-09,2024-11-23,2
13,2024-11-09,2024-11-30,3,117.4062271118164,4.7741213,log,2024-11-09,2024-11-30,3
13,2024-11-09,2024-12-07,4,121.1844711303711,4.805532,log,2024-11-09,2024-12-07,4
15,2024-11-09,2024-11-16,1,8.861486434936523,2.288637,log,2024-11-09,2024-11-16,1
15,2024-11-09,2024-11-23,2,20.931495666503906,3.0879238,log,2024-11-09,2024-11-23,2
15,2024-11-09,2024-11-30,3,31.915830612182617,3.4939537,log,2024-11-09,2024-11-30,3
15,2024-11-09,2024-12-07,4,44.239990234375,3.8119814,log,2024-11-09,2024-12-07,4
16,2024-11-09,2024-11-16,1,7.165010929107666,2.099858,log,2024-11-09,2024-11-16,1
16,2024-11-09,2024-11-23,2,11.938370704650879,2.5601974,log,2024-11-09,2024-11-23,2
16,2024-11-09,2024-11-30,3,12.404389381408691,2.5955822,log,2024-11-09,2024-11-30,3
16,2024-11-09,2024-12-07,4,18.367355346679688,2.963589,log,2024-11-09,2024-12-07,4
17,2024-11-09,2024-11-16,1,51.42747116088867,3.9594307,log,2024-11-09,2024-11-16,1
17,2024-11-09,2024-11-23,2,67.15026092529297,4.221715,log,2024-11-09,2024-11-23,2
17,2024-11-09,2024-11-30,3,125.87218475341797,4.84318,log,2024-11-09,2024-11-30,3
17,2024-11-09,2024-12-07,4,192.22134399414062,5.2638364,log,2024-11-09,2024-12-07,4
18,2024-11-09,2024-11-16,1,33.06435775756836,3.5282516,log,2024-11-09,2024-11-16,1
18,2024-11-09,2024-11-23,2,51.402801513671875,3.95896,log,2024-11-09,2024-11-23,2
18,2024-11-09,2024-11-30,3,90.87300109863281,4.520407,log,2024-11-09,2024-11-30,3
18,2024-11-09,2024-12-07,4,102.4783935546875,4.639363,log,2024-11-09,2024-12-07,4
19,2024-11-09,2024-11-16,1,5.8804216384887695,1.92868,log,2024-11-09,2024-11-16,1
19,2024-11-09,2024-11-23,2,8.970382690429688,2.299619,log,2024-11-09,2024-11-23,2
19,2024-11-09,2024-11-30,3,15.027691841125488,2.774318,log,2024-11-09,2024-11-30,3
19,2024-11-09,2024-12-07,4,25.389354705810547,3.2729607,log,2024-11-09,2024-12-07,4
