location,cutoff_date,forecast_date,forecast_week,forecast
21,2024-11-23,2024-11-30,1,26.471492767333984
21,2024-11-23,2024-12-07,2,35.83919906616211
21,2024-11-23,2024-12-14,3,51.29631805419922
21,2024-11-23,2024-12-21,4,75.74449920654297
22,2024-11-23,2024-11-30,1,114.16544342041016
22,2024-11-23,2024-12-07,2,129.55343627929688
22,2024-11-23,2024-12-14,3,164.6016845703125
22,2024-11-23,2024-12-21,4,196.59475708007812
23,2024-11-23,2024-11-30,1,7.12506628036499
23,2024-11-23,2024-12-07,2,10.195951461791992
23,2024-11-23,2024-12-14,3,19.35344886779785
23,2024-11-23,2024-12-21,4,20.296743392944336
24,2024-11-23,2024-11-30,1,22.662616729736328
24,2024-11-23,2024-12-07,2,31.14129066467285
24,2024-11-23,2024-12-14,3,49.08724594116211
24,2024-11-23,2024-12-21,4,71.9284896850586
25,2024-11-23,2024-11-30,1,87.36599731445312
25,2024-11-23,2024-12-07,2,112.5147933959961
25,2024-11-23,2024-12-14,3,149.3907928466797
25,2024-11-23,2024-12-21,4,194.06300354003906
26,2024-11-23,2024-11-30,1,110.445556640625
26,2024-11-23,2024-12-07,2,137.5558624267578
26,2024-11-23,2024-12-14,3,214.39427185058594
26,2024-11-23,2024-12-21,4,283.9805908203125
27,2024-11-23,2024-11-30,1,16.96355438232422
27,2024-11-23,2024-12-07,2,26.7596378326416
27,2024-11-23,2024-12-14,3,38.85836410522461
27,2024-11-23,2024-12-21,4,54.16471481323242
28,2024-11-23,2024-11-30,1,50.00676345825195
28,2024-11-23,2024-12-07,2,71.67799377441406
28,2024-11-23,2024-12-14,3,109.67082977294922
28,2024-11-23,2024-12-21,4,133.44674682617188
29,2024-11-23,2024-11-30,1,55.75562286376953
29,2024-11-23,2024-12-07,2,80.93924713134766
29,2024-11-23,2024-12-14,3,124.60474395751953
29,2024-11-23,2024-12-21,4,146.18641662597656
30,2024-11-23,2024-11-30,1,7.882448673248291
30,2024-11-23,2024-12-07,2,10.040145874023438
30,2024-11-23,2024-12-14,3,17.905637741088867
30,2024-11-23,2024-12-21,4,26.740707397460938
31,2024-11-23,2024-11-30,1,10.377799987792969
31,2024-11-23,2024-12-07,2,14.069740295410156
31,2024-11-23,2024-12-14,3,19.75233268737793
31,2024-11-23,2024-12-21,4,33.44517135620117
32,2024-11-23,2024-11-30,1,59.69668960571289
32,2024-11-23,2024-12-07,2,93.1214828491211
32,2024-11-23,2024-12-14,3,174.5287628173828
32,2024-11-23,2024-12-21,4,206.961669921875
33,2024-11-23,2024-11-30,1,14.28971004486084
