location,cutoff_date,forecast_date,forecast_week,horizon,forecast,predicted,predicted_q05,predicted_q25,predicted_q50,predicted_q75,predicted_q95,reference_date,target_end_date,model_family
32,2025-10-04,2025-10-11,1,1,3.0,3.0,0.0,0.0,3.0,6.0,13.0,2025-10-04,2025-10-11,persistence
32,2025-10-04,2025-10-18,2,2,3.0,3.0,0.0,0.0,3.0,6.0,13.0,2025-10-04,2025-10-18,persistence
32,2025-10-04,2025-10-25,3,3,2.0,2.0,0.0,0.0,2.0,6.0,13.0,2025-10-04,2025-10-25,persistence
32,2025-10-04,2025-11-01,4,4,1.0,1.0,0.0,0.0,1.0,5.0,13.0,2025-10-04,2025-11-01,persistence
33,2025-10-04,2025-10-11,1,1,2.0,2.0,0.0,0.0,2.0,5.0,12.0,2025-10-04,2025-10-11,persistence
33,2025-10-04,2025-10-18,2,2,2.0,2.0,0.0,0.0,2.0,5.0,12.0,2025-10-04,2025-10-18,persistence
33,2025-10-04,2025-10-25,3,3,1.0,1.0,0.0,0.0,1.0,5.0,12.0,2025-10-04,2025-10-25,persistence
33,2025-10-04,2025-11-01,4,4,0.0,0.0,0.0,0.0,0.0,4.0,12.0,2025-10-04,2025-11-01,persistence
34,2025-10-04,2025-10-11,1,1,14.0,14.0,0.0,7.0,14.0,17.0,24.0,2025-10-04,2025-10-11,persistence
34,2025-10-04,2025-10-18,2,2,14.0,14.0,0.0,2.0,14.0,17.0,24.0,2025-10-04,2025-10-18,persistence
34,2025-10-04,2025-10-25,3,3,13.0,13.0,0.0,0.0,13.0,17.0,24.0,2025-10-04,2025-10-25,persistence
34,2025-10-04,2025-11-01,4,4,12.0,12.0,0.0,0.0,12.0,16.0,24.0,2025-10-04,2025-11-01,persistence
35,2025-10-04,2025-10-11,1,1,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2025-10-04,2025-10-11,persistence
35,2025-10-04,2025-10-18,2,2,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2025-10-04,2025-10-18,persistence
35,2025-10-04,2025-10-25,3,3,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2025-10-04,2025-10-25,persistence
35,2025-10-04,2025-11-01,4,4,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2025-10-04,2025-11-01,persistence
36,2025-10-04,2025-10-11,1,1,20.0,20.0,0.0,13.0,20.0,23.0,30.0,2025-10-04,2025-10-11,persistence
36,2025-10-04,2025-10-18,2,2,20.0,20.0,0.0,8.0,20.0,23.0,30.0,2025-10-04,2025-10-18,persistence
36,2025-10-04,2025-10-25,3,3,19.0,19.0,0.0,4.0,19.0,23.0,30.0,2025-10-04,2025-10-25,persistence
36,2025-10-04,2025-11-01,4,4,18.0,18.0,0.0,0.0,18.0,22.0,30.0,2025-10-04,2025-11-01,persistence
37,2025-10-04,2025-10-11,1,1,17.0,17.0,0.0,10.0,17.0,20.0,27.0,2025-10-04,2025-10-11,persistence
37,2025-10-04,2025-10-18,2,2,17.0,17.0,0.0,5.0,17.0,20.0,27.0,2025-10-04,2025-10-18,persistence
37,2025-10-04,2025-10-25,3,3,16.0,16.0,0.0,1.0,16.0,20.0,27.0,2025-10-04,2025-10-25,persistence
37,2025-10-04,2025-11-01,4,4,15.0,15.0,0.0,0.0,15.0,19.0,27.0,2025-10-04,2025-11-01,persistence
38,2025-10-04,2025-10-11,1,1,1.0,1.0,0.0,0.0,1.0,4.0,11.0,2025-10-04,2025-10-11,persistence
38,2025-10-04,2025-10-18,2,2,1.0,1.0,0.0,0.0,1.0,4.0,11.0,2025-10-04,2025-10-18,persistence
38,2025-10-04,2025-10-25,3,3,0.0,0.0,0.0,0.0,0.0,4.0,11.0,2025-10-04,2025-10-25,persistence
38,2025-10-04,2025-11-01,4,4,0.0,0.0,0.0,0.0,0.0,3.0,11.0,2025-10-04,2025-11-01,persistence
39,2025-10-04,2025-10-11,1,1,15.0,15.0,0.0,8.0,15.0,18.0,25.0,2025-10-04,2025-10-11,persistence
39,2025-10-04,2025-10-18,2,2,15.0,15.0,0.0,3.0,15.0,18.0,25.0,2025-10-04,2025-10-18,persistence
39,2025-10-04,2025-10-25,3,3,14.0,14.0,0.0,0.0,14.0,18.0,25.0,2025-10-04,2025-10-25,persistence
39,2025-10-04,2025-11-01,4,4,13.0,13.0,0.0,0.0,13.0,17.0,25.0,2025-10-04,2025-11-01,persistence
40,2025-10-04,2025-10-11,1,1,16.0,16.0,0.0,9.0,16.0,19.0,26.0,2025-10-04,2025-10-11,persistence
40,2025-10-04,2025-10-18,2,2,16.0,16.0,0.0,4.0,16.0,19.0,26.0,2025-10-04,2025-10-18,persistence
40,2025-10-04,2025-10-25,3,3,15.0,15.0,0.0,0.0,15.0,19.0,26.0,2025-10-04,2025-10-25,persistence
