location,cutoff_date,forecast_date,forecast_week,horizon,forecast,predicted,predicted_q05,predicted_q25,predicted_q50,predicted_q75,predicted_q95,reference_date,target_end_date,model_family
35,2025-10-04,2025-10-18,2,2,7.0,7.0,0.0,3.0,7.0,20.0,137.0,2025-10-04,2025-10-18,seasonal_naive
35,2025-10-04,2025-10-25,3,3,20.0,20.0,4.0,16.0,20.0,32.0,139.0,2025-10-04,2025-10-25,seasonal_naive
35,2025-10-04,2025-11-01,4,4,7.0,7.0,0.0,3.0,7.0,18.0,122.29999999999973,2025-10-04,2025-11-01,seasonal_naive
36,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
36,2025-10-04,2025-10-18,2,2,10.0,10.0,0.0,6.0,10.0,23.0,140.0,2025-10-04,2025-10-18,seasonal_naive
36,2025-10-04,2025-10-25,3,3,13.0,13.0,0.0,9.0,13.0,25.0,132.0,2025-10-04,2025-10-25,seasonal_naive
36,2025-10-04,2025-11-01,4,4,20.0,20.0,5.0,16.0,20.0,31.0,135.29999999999973,2025-10-04,2025-11-01,seasonal_naive
37,2025-10-04,2025-10-11,1,1,83.0,83.0,65.6857142857143,78.0,83.0,98.0,238.79999999999927,2025-10-04,2025-10-11,seasonal_naive
37,2025-10-04,2025-10-18,2,2,53.0,53.0,36.0,49.0,53.0,66.0,183.0,2025-10-04,2025-10-18,seasonal_naive
37,2025-10-04,2025-10-25,3,3,52.0,52.0,36.0,48.0,52.0,64.0,171.0,2025-10-04,2025-10-25,seasonal_naive
37,2025-10-04,2025-11-01,4,4,19.0,19.0,4.0,15.0,19.0,30.0,134.29999999999973,2025-10-04,2025-11-01,seasonal_naive
38,2025-10-04,2025-10-11,1,1,7.0,7.0,0.0,2.0,7.0,22.0,162.79999999999927,2025-10-04,2025-10-11,seasonal_naive
38,2025-10-04,2025-10-18,2,2,5.0,5.0,0.0,1.0,5.0,18.0,135.0,2025-10-04,2025-10-18,seasonal_naive
38,2025-10-04,2025-10-25,3,3,5.0,5.0,0.0,1.0,5.0,17.0,124.0,2025-10-04,2025-10-25,seasonal_naive
38,2025-10-04,2025-11-01,4,4,6.0,6.0,0.0,2.0,6.0,17.0,121.29999999999973,2025-10-04,2025-11-01,seasonal_naive
39,2025-10-04,2025-10-11,1,1,7.0,7.0,0.0,2.0,7.0,22.0,162.79999999999927,2025-10-04,2025-10-11,seasonal_naive
39,2025-10-04,2025-10-18,2,2,15.0,15.0,0.0,11.0,15.0,28.0,145.0,2025-10-04,2025-10-18,seasonal_naive
39,2025-10-04,2025-10-25,3,3,234.0,234.0,218.0,230.0,234.0,246.0,353.0,2025-10-04,2025-10-25,seasonal_naive
39,2025-10-04,2025-11-01,4,4,22.0,22.0,7.0,18.0,22.0,33.0,137.29999999999973,2025-10-04,2025-11-01,seasonal_naive
40,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
40,2025-10-04,2025-10-18,2,2,5.0,5.0,0.0,1.0,5.0,18.0,135.0,2025-10-04,2025-10-18,seasonal_naive
40,2025-10-04,2025-10-25,3,3,9.0,9.0,0.0,5.0,9.0,21.0,128.0,2025-10-04,2025-10-25,seasonal_naive
40,2025-10-04,2025-11-01,4,4,8.0,8.0,0.0,4.0,8.0,19.0,123.29999999999973,2025-10-04,2025-11-01,seasonal_naive
41,2025-10-04,2025-10-11,1,1,12.0,12.0,0.0,7.0,12.0,27.0,167.79999999999927,2025-10-04,2025-10-11,seasonal_naive
41,2025-10-04,2025-10-18,2,2,9.0,9.0,0.0,5.0,9.0,22.0,139.0,2025-10-04,2025-10-18,seasonal_naive
41,2025-10-04,2025-10-25,3,3,12.0,12.0,0.0,8.0,12.0,24.0,131.0,2025-10-04,2025-10-25,seasonal_naive
41,2025-10-04,2025-11-01,4,4,12.0,12.0,0.0,8.0,12.0,23.0,127.29999999999973,2025-10-04,2025-11-01,seasonal_naive
42,2025-10-04,2025-10-11,1,1,32.0,32.0,14.685714285714292,27.0,32.0,47.0,187.79999999999927,2025-10-04,2025-10-11,seasonal_naive
42,2025-10-04,2025-10-18,2,2,11.0,11.0,0.0,7.0,11.0,24.0,141.0,2025-10-04,2025-10-18,seasonal_naive
42,2025-10-04,2025-10-25,3,3,68.0,68.0,52.0,64.0,68.0,80.0,187.0,2025-10-04,2025-10-25,seasonal_naive
42,2025-10-04,2025-11-01,4,4,109.0,109.0,94.0,105.0,109.0,120.0,224.29999999999973,2025-10-04,2025-11-01,seasonal_naive
44,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
44,2025-10-04,2025-10-18,2,2,5.0,5.0,0.0,1.0,5.0,18.0,135.0,2025-10-04,2025-10-18,seasonal_naive
44,2025-10-04,2025-10-25,3,3,5.0,5.0,0.0,1.0,5.0,17.0,124.0,2025-10-04,2025-10-25,seasonal_naive
44,2025-10-04,2025-11-01,4,4,7.0,7.0,0.0,3.0,7.0,18.0,122.29999999999973,2025-10-04,2025-11-01,seasonal_naive
45,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
45,2025-10-04,2025-10-18,2,2,13.0,13.0,0.0,9.0,13.0,26.0,143.0,2025-10-04,2025-10-18,seasonal_naive
45,2025-10-04,2025-10-25,3,3,13.0,13.0,0.0,9.0,13.0,25.0,132.0,2025-10-04,2025-10-25,seasonal_naive
45,2025-10-04,2025-11-01,4,4,16.0,16.0,1.0,12.0,16.0,27.0,131.29999999999973,2025-10-04,2025-11-01,seasonal_naive
46,2025-10-04,2025-10-11,1,1,7.0,7.0,0.0,2.0,7.0,22.0,162.79999999999927,2025-10-04,2025-10-11,seasonal_naive
46,2025-10-04,2025-10-18,2,2,6.0,6.0,0.0,2.0,6.0,19.0,136.0,2025-10-04,2025-10-18,seasonal_naive
46,2025-10-04,2025-10-25,3,3,7.0,7.0,0.0,3.0,7.0,19.0,126.0,2025-10-04,2025-10-25,seasonal_naive
46,2025-10-04,2025-11-01,4,4,5.0,5.0,0.0,1.0,5.0,16.0,120.29999999999973,2025-10-04,2025-11-01,seasonal_naive
47,2025-10-04,2025-10-11,1,1,8.0,8.0,0.0,3.0,8.0,23.0,163.79999999999927,2025-10-04,2025-10-11,seasonal_naive
47,2025-10-04,2025-10-18,2,2,13.0,13.0,0.0,9.0,13.0,26.0,143.0,2025-10-04,2025-10-18,seasonal_naive
47,2025-10-04,2025-10-25,3,3,36.0,36.0,20.0,32.0,36.0,48.0,155.0,2025-10-04,2025-10-25,seasonal_naive
47,2025-10-04,2025-11-01,4,4,50.0,50.0,35.0,46.0,50.0,61.0,165.29999999999973,2025-10-04,2025-11-01,seasonal_naive
48,2025-10-04,2025-10-11,1,1,85.0,85.0,67.6857142857143,80.0,85.0,100.0,240.79999999999927,2025-10-04,2025-10-11,seasonal_naive
48,2025-10-04,2025-10-18,2,2,51.0,51.0,34.0,47.0,51.0,64.0,181.0,2025-10-04,2025-10-18,seasonal_naive
48,2025-10-04,2025-10-25,3,3,68.0,68.0,52.0,64.0,68.0,80.0,187.0,2025-10-04,2025-10-25,seasonal_naive
48,2025-10-04,2025-11-01,4,4,108.0,108.0,93.0,104.0,108.0,119.0,223.29999999999973,2025-10-04,2025-11-01,seasonal_naive
49,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
49,2025-10-04,2025-10-18,2,2,6.0,6.0,0.0,2.0,6.0,19.0,136.0,2025-10-04,2025-10-18,seasonal_naive
49,2025-10-04,2025-10-25,3,3,10.0,10.0,0.0,6.0,10.0,22.0,129.0,2025-10-04,2025-10-25,seasonal_naive
49,2025-10-04,2025-11-01,4,4,7.0,7.0,0.0,3.0,7.0,18.0,122.29999999999973,2025-10-04,2025-11-01,seasonal_naive
50,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
50,2025-10-04,2025-10-18,2,2,6.0,6.0,0.0,2.0,6.0,19.0,136.0,2025-10-04,2025-10-18,seasonal_naive
50,2025-10-04,2025-10-25,3,3,5.0,5.0,0.0,1.0,5.0,17.0,124.0,2025-10-04,2025-10-25,seasonal_naive
50,2025-10-04,2025-11-01,4,4,5.0,5.0,0.0,1.0,5.0,16.0,120.29999999999973,2025-10-04,2025-11-01,seasonal_naive
51,2025-10-04,2025-10-11,1,1,25.0,25.0,7.685714285714292,20.0,25.0,40.0,180.79999999999927,2025-10-04,2025-10-11,seasonal_naive
51,2025-10-04,2025-10-18,2,2,20.0,20.0,3.0,16.0,20.0,33.0,150.0,2025-10-04,2025-10-18,seasonal_naive
51,2025-10-04,2025-10-25,3,3,15.0,15.0,0.0,11.0,15.0,27.0,134.0,2025-10-04,2025-10-25,seasonal_naive
51,2025-10-04,2025-11-01,4,4,21.0,21.0,6.0,17.0,21.0,32.0,136.29999999999973,2025-10-04,2025-11-01,seasonal_naive
53,2025-10-04,2025-10-11,1,1,13.0,13.0,0.0,8.0,13.0,28.0,168.79999999999927,2025-10-04,2025-10-11,seasonal_naive
